RELIANCE.NS_Return,RELIANCE.NS_MA7,RELIANCE.NS_MA21,RELIANCE.NS_EMA21,RELIANCE.NS_STD21,RELIANCE.NS_RSI,Target_Reg,Target_Cls,Split,Date,RELIANCE_Return_3,RELIANCE_Return_5,RELIANCE_Return_10,RELIANCE_Volatility_7,RELIANCE_Volatility_14,RELIANCE_Momentum_5,RELIANCE_Momentum_10,RELIANCE_BB_upper,RELIANCE_BB_lower,RELIANCE_BB_width,NIFTY_Close,NIFTY_Return,NIFTY_MA7,NIFTY_MA21,NIFTY_RSI
-0.0153713949100777,548.4095720563616,513.6829209100632,522.8272474633071,26.79080434204468,71.99482284908902,531.7084350585938,0,Train,2019-01-01,-0.003052324617733748,0.007257170913436806,0.039112346052802005,0.005166055601053907,0.006815608930257848,3.979901994977695,21.4495849609375,550.8487928125539,543.3022430412409,7.546549771313039,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0123489388390639,545.7414637974331,515.2647240048364,523.6346281537877,26.829565278301235,68.46733834418788,545.6939086914062,1,Train,2019-01-02,-0.003052324617733748,0.007257170913436806,0.039112346052802005,0.005166055601053907,0.006815608930257848,3.979901994977695,21.4495849609375,550.8487928125539,543.3022430412409,7.546549771313039,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.026302899692143,545.2332676478794,517.8216610863095,525.6400172935712,27.05902855328063,74.75081718910106,555.83251953125,1,Train,2019-01-03,-0.003052324617733748,0.007257170913436806,0.039112346052802005,0.005166055601053907,0.006815608930257848,3.979901994977695,21.4495849609375,549.8737626113087,543.0491063898074,6.8246562215013,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0185793000038363,546.7356480189732,521.1504342215402,528.3847902242693,27.23854164663575,77.12058462444136,574.0424194335938,1,Train,2019-01-04,-0.003052324617733748,0.007257170913436806,0.039112346052802005,0.005166055601053907,0.006815608930257848,3.979901994977695,21.4495849609375,549.3296036533161,543.7303721070075,5.5992315463086015,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0327614870711427,549.495867047991,525.2214093889509,532.5354837887534,28.483006986299863,77.75866008326987,574.3314208984375,1,Train,2019-01-05,0.006879453916573741,0.007257170913436806,0.039112346052802005,0.005166055601053907,0.006815608930257848,3.979901994977695,21.4495849609375,550.7169830954581,543.5293443319972,7.187638763460882,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0005034496668885,552.3894740513393,529.1769787016369,536.3351144350883,29.288031531730287,77.32139531510764,582.64697265625,1,Train,2019-01-06,0.01312503625160577,0.007257170913436806,0.039112346052802005,0.005166055601053907,0.006815608930257848,3.979901994977695,21.4495849609375,553.3694740894553,542.6322901172041,10.73718397225116,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0144786641566716,557.5160348074777,533.5306425548736,540.5452833642847,30.146346447715143,79.09630971438774,573.820068359375,0,Train,2019-01-07,0.019717731645203518,0.02157536451072195,0.039112346052802005,0.005166055601053907,0.006815608930257848,11.77457101004461,21.4495849609375,558.0638799288844,540.6564993361029,17.407380592781465,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0151496613062859,562.5822492327009,537.3348098028274,543.5702638183838,29.93941216053604,69.49093196870146,568.1724853515625,0,Train,2019-01-08,0.023815251341220423,0.031819374594775685,0.039112346052802005,0.005166055601053907,0.006815608930257848,17.348981584821445,21.4495849609375,563.3557029619988,538.6701912030403,24.685511758958455,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0098420799815518,567.7913992745536,540.9388631184896,545.8068294123091,28.804742488650355,58.643012590818856,557.2999877929688,0,Train,2019-01-09,0.027882365516948227,0.03851175852877575,0.039112346052802005,0.0038776344250831276,0.006815608930257848,21.05575125558039,21.4495849609375,568.9526385357811,536.8018005608211,32.15083797496004,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.019135910025397,569.4494105747768,544.2252865745908,546.851661992369,26.32747496544529,53.57280646426814,558.7007446289062,1,Train,2019-01-10,0.021404542689825945,0.03631245423915641,0.039112346052802005,0.0029439155840572406,0.006815608930257848,19.95354352678578,21.4495849609375,572.9616161055463,536.107261196351,36.85435490919531,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
