TCS.NS_Return,TCS.NS_MA7,TCS.NS_MA21,TCS.NS_EMA21,TCS.NS_STD21,TCS.NS_RSI,Target_Reg,Target_Cls,Split,Date,TCS_Return_3,TCS_Return_5,TCS_Return_10,TCS_Volatility_7,TCS_Volatility_14,TCS_Momentum_5,TCS_Momentum_10,TCS_BB_upper,TCS_BB_lower,TCS_BB_width,NIFTY_Close,NIFTY_Return,NIFTY_MA7,NIFTY_MA21,NIFTY_RSI
0.0141944844251242,1629.7374616350446,1606.2115769159227,1615.1427286121504,30.75374111955648,65.78120117336307,1681.067138671875,0,Train,2019-01-01,0.025229995420823492,0.04549206300121056,0.07326180815256089,0.002038343223218094,0.006916183523376748,74.14011928013429,119.39751325334828,1646.6045659230408,1621.681863345933,24.922702577107884,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0006808805222672,1638.548967633929,1609.5515194847471,1621.135856799398,34.83008723831291,65.32735602380242,1708.810546875,1,Train,2019-01-02,0.025229995420823492,0.04549206300121056,0.07326180815256089,0.002038343223218094,0.006916183523376748,74.14011928013429,119.39751325334828,1646.6045659230408,1621.681863345933,24.922702577107884,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0165034504362768,1652.1479666573662,1613.3861316499256,1629.106283169907,40.899492988622704,78.97176149336009,1722.2581787109375,1,Train,2019-01-03,0.025229995420823492,0.04549206300121056,0.07326180815256089,0.002038343223218094,0.006916183523376748,74.14011928013429,119.39751325334828,1662.725116734991,1617.5644805492357,45.160636185755266,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0078695861636213,1670.8557303292412,1618.8024727957588,1637.574637310001,47.25922851960871,88.09928059985467,1739.481201171875,1,Train,2019-01-04,0.025229995420823492,0.04549206300121056,0.07326180815256089,0.002038343223218094,0.006916183523376748,74.14011928013429,119.39751325334828,1683.6425702090696,1612.0024929187207,71.64007729034893,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.010000255869784,1688.8786446707588,1625.970203218006,1646.8388703883531,53.50817902581784,86.50846330688785,1734.6448974609375,0,Train,2019-01-05,0.03071600423971832,0.04549206300121056,0.07326180815256089,0.002038343223218094,0.006916183523376748,74.14011928013429,119.39751325334828,1704.1044304355682,1607.9630779349673,96.14135250060099,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0027803138704111,1703.877580915179,1632.0590239025298,1654.8212364858607,58.277726580366696,84.4799979533281,1760.31005859375,1,Train,2019-01-06,0.03131052139504931,0.04549206300121056,0.07326180815256089,0.002038343223218094,0.006916183523376748,74.14011928013429,119.39751325334828,1722.099489808469,1605.9159608053703,116.18352900309856,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0147956282985524,1718.3977922712054,1639.5453520275298,1664.4111294047598,64.17104480334595,84.60497904159573,1767.18212890625,1,Train,2019-01-07,0.028453720497218615,0.048731424091999154,0.07326180815256089,0.002038343223218094,0.006916183523376748,79.8488246372765,119.39751325334828,1738.8795700313758,1604.6758997151169,134.20367031625892,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0039038976565242,1730.5363071986608,1647.625011625744,1673.7539475412589,69.10559896873234,84.70758439281018,1748.941162109375,0,Train,2019-01-08,0.02466587084830052,0.04744631965373558,0.07326180815256089,0.002038343223218094,0.006916183523376748,78.38834054129461,119.39751325334828,1753.8601278274612,1604.384985000385,149.47514282707607,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0103220638656892,1740.2325962611608,1654.7715425037202,1680.589148865633,71.52848126044707,77.66304554646004,1752.7587890625,1,Train,2019-01-09,0.021336635773125723,0.041521757188604846,0.07326180815256089,0.0019876050360149804,0.006916183523376748,69.37686593191961,119.39751325334828,1766.8275858534223,1604.9975358293657,161.83005002405662,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0021828218329087,1746.5109165736608,1663.954334077381,1687.1500252471665,71.11975555786735,79.95970135052518,1740.6265869140625,0,Train,2019-01-10,0.01636007938842754,0.034124578509391545,0.07326180815256089,0.0027618020094516316,0.006916183523376748,57.63227190290195,119.39751325334828,1777.3458952720355,1606.598897557206,170.74699771482938,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0069217751034222,1749.134974888393,1673.7406180245537,1692.011530853248,66.49366799067991,83.62633254347432,1734.687744140625,0,Train,2019-01-11,0.010747343244036811,0.0265614117352877,0.07326180815256089,0.0032291448163361933,0.006916183523376748,45.25739397321399,119.39751325334828,1785.1915748003273,1609.1464141150543,176.045160685273,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0034118993804216,1748.4501953125,1681.044945126488,1695.8911866066458,64.21699429740573,79.46452597177061,1722.046142578125,0,Train,2019-01-12,0.0047221268403974115,0.017488618279458024,0.06707228764561668,0.0035431127974210747,0.006916183523376748,30.05240304129461,109.9012276785711,1790.4379362061,1612.4469195184165,177.99101668768344,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0072875372557398,1746.6503731863838,1687.652553013393,1698.26890987678,60.69758543438692,72.83985636259392,1671.6497802734375,0,Train,2019-01-13,7.984869226973501e-05,0.00931160237476214,0.05719972329125911,0.003696471700397888,0.006916183523376748,16.114065987723052,94.50240652901766,1793.7401879146528,1616.0997363212678,177.64045159338502,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0292653960068907,1733.984619140625,1690.7230340866815,1695.8489890037488,57.99333933264784,52.90219508148044,1616.077880859375,0,Train,2019-01-14,-0.008661627584649167,-0.00359031151005873,0.037782369635793955,0.0048048506036608065,0.006916183523376748,-6.247977120535779,63.12888881138383,1793.7343640237411,1620.2576540725602,173.47670995118096,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0332437452329114,1712.398297991071,1690.8906889415923,1688.597070081533,57.76069080071964,37.06653094411996,1624.519775390625,1,Train,2019-01-15,-0.020619344730597455,-0.019531866797324438,0.013926194990106833,0.006324099664822292,0.006916183523376748,-34.112618582589675,23.519653320312273,1790.9858749302975,1623.7264483583926,167.2594265719049,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
