HDFCBANK.NS_Return,HDFCBANK.NS_MA7,HDFCBANK.NS_MA21,HDFCBANK.NS_EMA21,HDFCBANK.NS_STD21,HDFCBANK.NS_RSI,Target_Reg,Target_Cls,Split,Date,HDFCBANK_Return_3,HDFCBANK_Return_5,HDFCBANK_Return_10,HDFCBANK_Volatility_7,HDFCBANK_Volatility_14,HDFCBANK_Momentum_5,HDFCBANK_Momentum_10,HDFCBANK_BB_upper,HDFCBANK_BB_lower,HDFCBANK_BB_width,NIFTY_Close,NIFTY_Return,NIFTY_MA7,NIFTY_MA21,NIFTY_RSI
-0.0127389889477901,494.08438982282365,496.4794296991257,496.2500703859672,4.896800391134525,32.22216497903328,477.7651672363281,0,Train,2019-01-01,-0.012512417046049884,-0.011107030540539742,0.008245450646420682,0.0040306974695354615,0.003612789531805609,-5.487810407366055,4.073948451450917,497.5635037951552,486.7996946214184,10.763809173736831,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0111295082046946,490.27880859375,495.21146065848217,494.5696246450909,6.055646512293277,29.62447045719901,488.3902587890625,1,Train,2019-01-02,-0.012512417046049884,-0.011107030540539742,0.008245450646420682,0.0040306974695354615,0.003612789531805609,-5.487810407366055,4.073948451450917,497.5635037951552,486.7996946214184,10.763809173736831,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0222391506986499,488.4036865234375,494.6686052594866,494.0078641127247,6.1351132831880975,42.83477437648067,490.8557434082031,1,Train,2019-01-03,-0.012512417046049884,-0.011107030540539742,0.008245450646420682,0.0040306974695354615,0.003612789531805609,-5.487810407366055,4.073948451450917,496.7113030265984,485.133286933409,11.578016093189376,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0050481854925887,487.9021998814174,494.4298793247768,493.7213076850409,6.183415339135869,47.490990484763984,494.2487487792969,1,Train,2019-01-04,-0.012512417046049884,-0.011107030540539742,0.008245450646420682,0.0040306974695354615,0.003612789531805609,-5.487810407366055,4.073948451450917,495.7764348845696,484.5581075261446,11.218327358424972,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0069124287871926,487.9910932268416,494.289552234468,493.7692568754279,6.150863676085409,46.09021909120909,496.3973693847656,1,Train,2019-01-05,-0.00466615184423369,-0.011107030540539742,0.008245450646420682,0.0040306974695354615,0.003612789531805609,-5.487810407366055,4.073948451450917,494.96516453606966,484.4989066832384,10.46625785283129,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0043472454119013,488.5965794154576,494.21576218377976,494.00817619445854,6.113977400687332,48.63252981406382,498.4166259765625,1,Train,2019-01-06,0.00039494561024544517,-0.011107030540539742,0.008245450646420682,0.0040306974695354615,0.003612789531805609,-5.487810407366055,4.073948451450917,494.3143773296255,484.77120849161713,9.543168838008341,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0040678229103017,489.8880310058594,494.4354785737537,494.408944356468,6.180926914934128,47.82021028428363,497.1486511230469,0,Train,2019-01-07,0.004070141772110514,-0.0007970517612447825,0.008245450646420682,0.0040306974695354615,0.003612789531805609,-0.390777587890625,4.073948451450917,493.95576436828287,485.228460908742,8.727303459540849,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
-0.0025440059328503,491.8889378138951,494.4405096144904,494.6580086079752,6.183198040374694,47.10737204977745,498.4166259765625,1,Train,2019-01-08,0.007987532233998396,0.0071360052895308446,0.008245450646420682,0.0040306974695354615,0.003612789531805609,3.4852512904575974,4.073948451450917,494.2334035744547,485.5250279964159,8.70837557803884,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0025504944057501,494.8391462053572,494.5987272716704,494.99970109602856,6.242977856303871,43.99153801584356,502.4083557128906,1,Train,2019-01-09,0.012776525773815273,0.01421790335363493,0.008245450646420682,0.003279953861458286,0.003612789531805609,6.9369463239398215,4.073948451450917,495.6765387629133,485.18409956793994,10.492439194973372,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
0.0080088213921576,496.8417314801897,494.9090140206473,495.6732151521069,6.468347907891038,50.87594831734154,500.0719909667969,0,Train,2019-01-10,0.014194469009689126,0.01813688482472764,0.008245450646420682,0.0024677349640664205,0.003612789531805609,8.850638253348109,4.073948451450917,497.46733501220547,484.67558578160026,12.791749230605205,10652.2001953125,0.0,10652.2001953125,10652.2001953125,0.0
