iter	RMSE
0	102.7916107
1	98.97072023
2	94.67719969
3	90.69506746
4	86.83345081
5	83.40673555
6	79.80729004
7	76.39933107
8	73.22601412
9	70.3041062
10	67.60574666
11	64.89597456
12	62.18930273
13	59.66185181
14	57.23070279
15	54.90345224
16	52.72686571
17	50.64365504
18	48.75756934
19	46.87318657
20	45.02474085
21	43.36033239
22	41.73210404
23	40.26351193
24	38.79375994
25	37.46977494
26	36.21153315
27	34.9808591
28	33.80821609
29	32.59413603
30	31.53656652
31	30.49316168
32	29.53233976
33	28.58038009
34	27.70768048
35	26.85416089
36	26.02298778
37	25.23464693
38	24.4660616
39	23.80024726
40	23.13184982
41	22.52226624
42	21.99447797
43	21.39496062
44	20.84429802
45	20.33925516
46	19.87105048
47	19.4314405
48	18.98937587
49	18.55286366
50	18.17061643
51	17.8110814
52	17.45598327
53	17.15367462
54	16.83372788
55	16.52930278
56	16.20685922
57	15.93920777
58	15.6347956
59	15.38118248
60	15.1281966
61	14.89085057
62	14.66743165
63	14.42747093
64	14.21949203
65	14.01734765
66	13.80353474
67	13.62569833
68	13.43812207
69	13.25257198
70	13.09125162
71	12.93771596
72	12.76720384
73	12.61292788
74	12.47387991
75	12.33880604
76	12.20831934
77	12.08827353
78	11.97154983
79	11.87107851
80	11.76968271
81	11.6495563
82	11.53903159
83	11.44095387
84	11.33618284
85	11.23381948
86	11.1490412
87	11.0783315
88	11.00317858
89	10.91301802
90	10.84387154
91	10.76544742
92	10.68808203
93	10.60907379
94	10.56448571
95	10.50448305
96	10.4476789
97	10.38326122
98	10.32939552
99	10.2708035
100	10.20800099
101	10.14453236
102	10.09666978
103	10.04514698
104	9.992627508
105	9.945800735
106	9.902016115
107	9.85006237
108	9.813545881
109	9.763811221
110	9.709384539
111	9.666142044
112	9.631078675
113	9.595421234
114	9.561243712
115	9.522181172
116	9.478397072
117	9.444717252
118	9.409940343
119	9.365712765
120	9.33625679
121	9.306926094
122	9.271222027
123	9.240798547
124	9.207304464
125	9.178472291
126	9.149838397
127	9.12548199
128	9.092724354
129	9.063840135
130	9.036809458
131	9.008126831
132	8.975426333
133	8.950727259
134	8.923164004
135	8.894999225
136	8.873288326
137	8.847579009
138	8.822335792
139	8.793834329
140	8.768151914
141	8.742065177
142	8.710501252
143	8.68852581
144	8.671418647
145	8.645979654
146	8.623211068
147	8.594835171
148	8.563560574
149	8.530401551
150	8.509129685
151	8.482197905
152	8.462548351
153	8.440066117
154	8.4068756
155	8.38819499
156	8.364332419
157	8.344250178
158	8.327805888
159	8.310232786
160	8.288622033
161	8.266935426
162	8.242523073
163	8.227007349
164	8.205457759
165	8.190707216
166	8.176806681
167	8.140335437
168	8.12369469
169	8.095511979
170	8.081336947
171	8.059519811
172	8.042024763
173	8.01677025
174	7.993812433
175	7.971304797
176	7.94271223
177	7.922619799
178	7.905643335
179	7.878781153
180	7.86019492
181	7.826685535
182	7.80999806
183	7.783674019
184	7.759719829
185	7.735485898
186	7.712088463
187	7.687967341
188	7.666189598
189	7.651639057
190	7.631393804
191	7.617578422
192	7.603406023
193	7.586933442
194	7.571800156
195	7.543495582
196	7.520850326
197	7.492386316
198	7.483310967
199	7.464678322
