Date,Close_HDFCBANK.NS,Close_RELIANCE.NS,Close_TCS.NS,Close_^NSEI,High_HDFCBANK.NS,High_RELIANCE.NS,High_TCS.NS,High_^NSEI,Low_HDFCBANK.NS,Low_RELIANCE.NS,Low_TCS.NS,Low_^NSEI,Open_HDFCBANK.NS,Open_RELIANCE.NS,Open_TCS.NS,Open_^NSEI,Volume_HDFCBANK.NS,Volume_RELIANCE.NS,Volume_TCS.NS,Volume_^NSEI,RELIANCE.NS_Return,RELIANCE.NS_MA7,RELIANCE.NS_MA21,RELIANCE.NS_EMA21,RELIANCE.NS_STD21,RELIANCE.NS_RSI,TCS.NS_Return,TCS.NS_MA7,TCS.NS_MA21,TCS.NS_EMA21,TCS.NS_STD21,TCS.NS_RSI,HDFCBANK.NS_Return,HDFCBANK.NS_MA7,HDFCBANK.NS_MA21,HDFCBANK.NS_EMA21,HDFCBANK.NS_STD21,HDFCBANK.NS_RSI
2019-01-29,483.1423034667969,538.3565673828125,1682.2125244140625,10652.2001953125,489.1064202746107,547.6949599864604,1687.5576365275876,10690.349609375,482.0621607411309,534.2210062373374,1643.1002024844968,10583.650390625,487.99107918180977,547.405894004788,1664.6077281051018,10653.7001953125,14762788,20405845,2557626,356900.0,-0.015371394910077774,548.4095720563616,513.6829209100632,522.8272474633071,26.790804342044677,71.99482284908902,0.014194484425124276,1629.7374616350446,1606.2115769159227,1615.1427286121504,30.753741119556473,65.78120117336307,-0.01273898894779013,494.08438982282365,496.4794296991257,496.2500703859672,4.896800391134525,32.22216497903328
2019-01-30,477.7651672363281,531.7084350585938,1681.067138671875,10651.7998046875,483.0601139646413,544.7377153830962,1687.9393515586144,10710.2001953125,476.1919606855232,529.662888392258,1658.3717993131452,10612.849609375,483.0601139646413,540.290885129087,1679.539934222657,10702.25,18514160,17164298,2429575,410100.0,-0.012348938839063961,545.7414637974331,515.2647240048364,523.6346281537877,26.829565278301235,68.46733834418788,-0.0006808805222672243,1638.5489676339287,1609.5515194847471,1621.135856799398,34.83008723831291,65.32735602380242,-0.011129508204694605,490.27880859375,495.21146065848217,494.5696246450909,6.055646512293277,29.62447045719901
2019-01-31,488.3902587890625,545.6939086914062,1708.810546875,10830.9501953125,490.6913951123749,546.8278500631961,1713.6041625971006,10838.0498046875,474.7831084661907,534.0654289766883,1684.1214322343085,10678.5498046875,476.8963863970491,534.5101002266729,1685.8182800249729,10690.5498046875,16579404,22279301,4094319,604800.0,0.026302899692143056,545.2332676478794,517.8216610863095,525.6400172935712,27.05902855328063,74.75081718910106,0.01650345043627688,1652.1479666573662,1613.3861316499256,1629.1062831699073,40.899492988622704,78.97176149336009,0.0222391506986499,488.4036865234375,494.6686052594866,494.0078641127247,6.1351132831880975,42.83477437648067
2019-02-01,490.8557434082031,555.83251953125,1722.2581787109375,10893.650390625,497.0899246894855,558.0781978668495,1726.3306551518851,10983.4501953125,487.6036779188113,545.649312834436,1695.235896258625,10813.4501953125,488.3902525205132,548.7398663456796,1704.9079501303418,10851.349609375,15654188,20187323,3064163,482300.0,0.01857930000383634,546.7356480189732,521.1504342215402,528.3847902242693,27.23854164663575,77.12058462444136,0.007869586163621323,1670.8557303292412,1618.8024727957588,1637.574637310001,47.25922851960871,88.09928059985467,0.005048185492588786,487.9021998814174,494.4298793247768,493.7213076850409,6.183415339135869,47.490990484763984
2019-02-04,494.2487487792969,574.0424194335938,1739.481201171875,10912.25,496.1507219454004,576.7327691603633,1743.8929642790513,10927.900390625,489.024255848258,552.3196086388238,1716.361648565152,10814.150390625,491.92416586635767,554.5207606926173,1722.258153582852,10876.75,7938288,25528059,1590764,318300.0,0.03276148707114279,549.495867047991,525.2214093889509,532.5354837887534,28.483006986299866,77.75866008326987,0.010000255869784036,1688.8786446707588,1625.970203218006,1646.8388703883531,53.50817902581784,86.50846330688785,0.00691242878719267,487.99109322684154,494.28955223446803,493.76925687542786,6.150863676085409,46.09021909120909
2019-02-05,496.3973693847656,574.3314208984375,1734.6448974609375,10934.349609375,497.5596610446362,580.0456533746585,1743.5108846200185,10956.7001953125,492.3938693773488,568.572780672687,1720.6034423403394,10886.7001953125,494.9767652109925,574.5315526145657,1739.268765679337,10908.650390625,8690288,20479210,1111404,268100.0,0.0005034496668885335,552.3894740513393,529.1769787016369,536.3351144350883,29.288031531730287,77.32139531510764,-0.0027803138704111108,1703.8775809151787,1632.0590239025298,1654.8212364858607,58.277726580366696,84.4799979533281,0.004347245411901346,488.5965794154576,494.21576218377976,494.00817619445854,6.1139774006873315,48.63252981406382
2019-02-06,498.4166259765625,582.64697265625,1760.31005859375,11062.4501953125,499.4380666739204,585.9376579308329,1770.5336086513446,11072.599609375,496.2916532652782,575.5320560913038,1731.6757501884194,10962.7001953125,496.9138733421176,576.42139839868,1739.1841778894093,10965.099609375,10875684,20586783,1789812,298500.0,0.01447866415667165,557.5160348074777,533.5306425548736,540.5452833642847,30.146346447715146,79.09630971438774,0.01479562829855241,1718.3977922712054,1639.5453520275298,1664.4111294047598,64.17104480334595,84.60497904159573,0.004067822910301722,489.8880310058594,494.4354785737537,494.408944356468,6.180926914934128,47.82021028428363
2019-02-07,497.1486511230469,573.820068359375,1767.18212890625,11069.400390625,500.1424616328208,587.5162967228948,1779.9509505372378,11118.099609375,494.4718552448418,571.9079229435836,1753.6922712123624,11043.599609375,498.9801701942932,582.6469989486654,1760.2675566994917,11070.4501953125,7217308,20150710,1339945,263500.0,-0.015149661306285922,562.5822492327009,537.3348098028274,543.5702638183838,29.939412160536033,69.49093196870146,0.0039038976565242134,1730.5363071986608,1647.625011625744,1673.7539475412589,69.10559896873234,84.70758439281018,-0.002544005932850313,491.8889378138951,494.44050961449034,494.65800860797515,6.183198040374694,47.10737204977745
2019-02-08,498.4166259765625,568.1724853515625,1748.941162109375,10943.599609375,503.6528710510584,578.3112835110752,1772.7819595181809,11041.2001953125,494.6596870641118,565.7489387471156,1740.1176353059527,10925.4501953125,495.9159364434978,571.3297096037913,1760.4798114382506,11023.5,12235644,14230054,1684474,352800.0,-0.009842079981551843,567.7913992745536,540.9388631184896,545.8068294123091,28.804742488650355,58.643012590818856,-0.010322063865689235,1740.2325962611608,1654.7715425037202,1680.589148865633,71.52848126044707,77.66304554646004,0.00255049440575017,494.83914620535717,494.5987272716704,494.99970109602856,6.242977856303871,43.99153801584356
2019-02-11,502.4083557128906,557.2999877929688,1752.7587890625,10888.7998046875,503.1714839023567,567.4165827641457,1778.2964303871245,10930.900390625,496.221181557175,556.2994480427927,1738.3355832816883,10857.099609375,496.221181557175,567.3721156501077,1747.7531710865824,10930.900390625,7036364,16457901,1778730,286000.0,-0.01913591002539705,569.4494105747768,544.2252865745908,546.851661992369,26.32747496544529,53.57280646426814,0.0021828218329087434,1746.5109165736608,1663.954334077381,1687.1500252471665,71.11975555786735,79.95970135052518,0.008008821392157639,496.8417314801897,494.9090140206473,495.67321515210693,6.468347907891038,50.87594831734154
