Date,Close_HDFCBANK.NS,Close_RELIANCE.NS,Close_TCS.NS,Close_^NSEI,High_HDFCBANK.NS,High_RELIANCE.NS,High_TCS.NS,High_^NSEI,Low_HDFCBANK.NS,Low_RELIANCE.NS,Low_TCS.NS,Low_^NSEI,Open_HDFCBANK.NS,Open_RELIANCE.NS,Open_TCS.NS,Open_^NSEI,Volume_HDFCBANK.NS,Volume_RELIANCE.NS,Volume_TCS.NS,Volume_^NSEI
2019-01-01,504.39251708984375,498.4905700683594,1610.9283447265625,10792.5,505.0734392889884,501.2921171732352,1617.023890830087,10895.349609375,494.4131488100753,493.64353558398005,1595.8586566569184,10735.0498046875,499.5906340212171,500.380511591524,1605.171359693113,10868.849609375,6373440,9746670,1094883,309700.0
2019-01-02,499.7902221679688,491.9982299804688,1628.28369140625,10792.5,504.2515866129729,501.158723368128,1637.7233023281976,10895.349609375,497.7238945387005,489.5969165762727,1608.5576535792757,10735.0498046875,503.14799739973824,495.60015556027656,1612.7907000360633,10868.849609375,8134232,15628818,2100463,309700.0
2019-01-03,495.8689880371094,485.9282836914063,1608.5150146484375,10672.25,499.73157940573066,495.64461591671386,1646.612426432645,10814.0498046875,493.8026601622232,484.7498754063528,1602.7157626348992,10661.25,498.78059277467264,492.4873615561272,1624.642960308756,10796.7998046875,12771664,16288287,2611668,286200.0
2019-01-04,497.1956176757813,488.5519409179688,1588.9588623046875,10727.349609375,499.79026500116737,491.131122957813,1609.5737809223033,10741.0498046875,495.5285104782037,480.7477534863932,1558.6079353996756,10628.650390625,496.679050055776,487.9961019121786,1608.5578909610992,10699.7001953125,7287120,18516544,4280862,296600.0
2019-01-07,497.9469604492188,491.2644653320313,1606.7796630859375,10771.7998046875,501.3986936022391,497.3566382099471,1616.0077242748102,10835.9501953125,497.3247404325629,489.5968891462382,1592.4719465651187,10750.150390625,499.6023729626674,492.2650051066426,1601.6153675009627,10804.849609375,5387012,12060290,1856423,269400.0
2019-01-08,493.8025817871094,491.2200317382813,1603.09716796875,10802.150390625,498.6161590227897,493.5768483693272,1613.9760773923656,10818.4501953125,492.3115239567449,487.3735072802789,1594.4194221748912,10733.25,498.2639460543253,491.4201337699942,1613.1294680466233,10786.25,8343460,12304389,1691756,277700.0
2019-01-09,497.0429992675781,493.93255615234375,1597.50927734375,10855.150390625,498.1113901709123,496.71183992612765,1624.6431450493835,10870.400390625,493.7087276514048,488.5741203089974,1580.365440091405,10749.400390625,497.32475820355967,494.4884247808296,1614.822498453014,10862.400390625,8568628,12614237,2414376,333000.0
2019-01-10,495.0940551757813,492.48736572265625,1598.864013671875,10821.599609375,498.6866391068716,494.04377419977465,1612.790695134032,10859.349609375,491.3723150175811,490.4862860716892,1584.9372288638574,10801.7998046875,497.0899287679056,492.5985335161184,1600.091555802268,10859.349609375,7691540,8925160,3053461,254400.0
2019-01-11,495.892333984375,488.28509521484375,1559.920166015625,10794.9501953125,498.7335414021781,495.2888738615876,1587.3925992618342,10850.150390625,494.97660323719,484.08283396366215,1553.528223810915,10739.400390625,496.3385047872636,492.5318235825745,1583.1595523304693,10834.75,6408040,14139060,9209862,260800.0
2019-01-14,493.4856567382813,487.7292785644531,1535.1146240234375,10737.599609375,495.422828416376,489.3745916363414,1567.0741315689413,10808.0,492.7342804011368,483.10454981021815,1532.3631432413742,10692.349609375,495.422828416376,486.928840745638,1566.2275220975373,10807.0,4855160,8994060,3615370,298800.0
