RELIANCE.NS_Return,RELIANCE.NS_MA7,RELIANCE.NS_MA21,RELIANCE.NS_EMA21,RELIANCE.NS_STD21,RELIANCE.NS_RSI,Target_Reg,Target_Cls,Split
-0.0153713949100777,548.4095720563616,513.6829209100632,522.8272474633071,26.79080434204468,71.99482284908902,531.7084350585938,0,Train
-0.0123489388390639,545.7414637974331,515.2647240048364,523.6346281537877,26.829565278301235,68.46733834418788,545.6939086914062,1,Train
0.026302899692143,545.2332676478794,517.8216610863095,525.6400172935712,27.05902855328063,74.75081718910106,555.83251953125,1,Train
0.0185793000038363,546.7356480189732,521.1504342215402,528.3847902242693,27.23854164663575,77.12058462444136,574.0424194335938,1,Train
0.0327614870711427,549.495867047991,525.2214093889509,532.5354837887534,28.483006986299863,77.75866008326987,574.3314208984375,1,Train
0.0005034496668885,552.3894740513393,529.1769787016369,536.3351144350883,29.288031531730287,77.32139531510764,582.64697265625,1,Train
0.0144786641566716,557.5160348074777,533.5306425548736,540.5452833642847,30.146346447715143,79.09630971438774,573.820068359375,0,Train
-0.0151496613062859,562.5822492327009,537.3348098028274,543.5702638183838,29.939412160536037,69.49093196870146,568.1724853515625,0,Train
-0.0098420799815518,567.7913992745536,540.9388631184896,545.8068294123091,28.804742488650355,58.643012590818856,557.2999877929688,0,Train
-0.019135910025397,569.4494105747768,544.2252865745908,546.851661992369,26.32747496544529,53.57280646426814,558.7007446289062,1,Train
0.0025134700639144,569.8591570172991,547.6048801967075,547.9288513229633,23.065779860932487,56.07830637382618,544.382080078125,0,Train
-0.0256285045052012,565.6219656808036,549.6070207868304,547.6064175734325,20.63691005123788,45.5055467259591,553.3868408203125,1,Train
0.0165412512125586,562.6298828125,551.9056120372954,548.1319105958761,17.946533174546538,49.72064137218663,542.558837890625,0,Train
-0.0195667878795899,556.9030064174107,553.7192876906622,547.6252676226715,14.508384828194288,48.34415679679996,540.780029296875,0,Train
-0.0032785542682627,552.1830008370536,554.391607375372,547.0029732294172,13.482697966025691,51.00755373484585,548.8956298828125,1,Train
0.0150072120756556,549.4291643415179,554.3206758045014,547.1750329251804,13.508722447436377,57.05943315956858,554.4762573242188,1,Train
0.0101670101519986,549.0257742745536,554.5694841657366,547.8387805978202,13.45870921566226,53.87477285628576,548.0061645507812,0,Train
-0.0116688364704031,547.4979771205357,554.6975940522693,547.8539973208167,13.378789122054489,46.4314955230543,547.9839477539062,0,Train
-4.054114408225118e-05,548.0125296456473,554.3767874581473,547.8658109965521,13.458735485279725,35.75589425767784,542.62548828125,0,Train
-0.0097784971523703,546.4751935686384,553.8315168108259,547.3894180224338,13.70129584786642,33.578952026907416,544.0707397460938,1,Train
0.002663441906169,546.691179547991,553.7034069242932,547.087719997312,13.783045262042773,28.48994355266321,547.4280395507812,1,Train
0.0061707045783316,547.6408952985491,554.1353817894345,547.1186581385365,13.415257801668565,34.327889743197574,545.20458984375,0,Train
-0.0040616291939591,547.1136038643973,554.7780558268229,546.9446519299195,12.584713573476211,35.78305660542736,550.3629760742188,1,Train
0.0094613771170692,546.5259922572544,555.0003923688616,547.2554086703103,12.456792143798992,45.37916869270513,562.4361572265625,1,Train
0.0219367611507275,548.587419782366,555.3148513067337,548.6354767208787,12.561757442303056,52.17846924457474,564.8596801757812,1,Train
0.0043089743041582,550.9982386997768,554.8775780087426,550.110404307688,12.025642569730906,63.86626097608756,563.4589233398438,0,Train
-0.0024798315140879,553.9744437081473,554.3598400297619,551.323906037884,11.361953977861154,57.60321782520353,579.912353515625,1,Train
0.0292007624588768,559.0946742466518,554.2296200706845,553.9228558085877,11.032436120650775,75.99008639580354,592.0299072265625,1,Train
0.0208954915988197,565.4663696289062,555.0967552548364,557.3871332102217,13.159746555424825,81.17395649713906,599.12255859375,1,Train
0.0119802247835989,573.1689365931919,556.570568266369,561.1812627905424,16.1016468249095,80.93672039590918,596.565673828125,0,Train
-0.0042677157268563,579.7693219866071,558.4403628394717,564.3980274303226,18.317912352223573,76.92752844483354,587.7164306640625,0,Train
-0.0148336445630159,583.3807896205357,559.8220621744791,566.5178822697534,19.40083458690517,74.65487278324684,600.345458984375,1,Train
0.0214883022855816,588.4501865931919,562.4869849795386,569.5931165165372,20.95526450626455,78.10930732881124,612.1295776367188,1,Train
0.019628896123041,595.4031372070312,565.2842581612723,573.4600675274628,23.45177723568096,84.90396127186871,611.6404418945312,0,Train
-0.000799072222708,599.9357212611607,568.5738583519345,576.9310106517418,24.904735790981302,84.26155171688112,596.6546630859375,0,Train
-0.0245009613199805,600.5964006696429,571.2345551990327,578.7240699639414,24.77123987145549,72.32760744688214,588.9614868164062,0,Train
-0.0128938509082315,599.1448189871652,573.1424531482514,579.6547442232563,24.50618437189868,68.90851651148549,607.9939575195312,1,Train
0.0323153060584722,600.7774309430804,575.6909150623139,582.2310363410994,25.239724759903844,72.23744662170628,599.98974609375,0,Train
-0.0131649522610989,602.53076171875,578.1663237072173,583.8454645004313,24.93609962542062,64.9601631598706,604.77001953125,1,Train
0.0079672585550372,603.162841796875,580.8704223632812,585.7476967759602,24.575808189673484,65.60598300430405,618.9332885742188,1,Train
0.0234192644899073,604.1348005022321,584.5041271391369,588.76456875762,24.27780235771524,69.72334558105501,617.9771728515625,0,Train
-0.0015447799307398,605.0400477818081,588.0234810965402,591.4202600388875,23.46669642468729,65.20963382001898,611.5292358398438,0,Train
-0.0104339404349932,607.1649867466518,591.0759190150669,593.2483487480653,22.048336140568733,58.16115338299691,601.6795043945312,0,Train
