HDFCBANK.NS_Return,HDFCBANK.NS_MA7,HDFCBANK.NS_MA21,HDFCBANK.NS_EMA21,HDFCBANK.NS_STD21,HDFCBANK.NS_RSI,Target_Reg,Target_Cls,Split
-0.0127389889477901,494.08438982282365,496.4794296991257,496.2500703859672,4.896800391134525,32.22216497903328,477.7651672363281,0,Train
-0.0111295082046946,490.27880859375,495.21146065848217,494.5696246450909,6.055646512293277,29.62447045719901,488.3902587890625,1,Train
0.0222391506986499,488.4036865234375,494.6686052594866,494.0078641127247,6.1351132831880975,42.83477437648067,490.8557434082031,1,Train
0.0050481854925887,487.9021998814174,494.4298793247768,493.7213076850409,6.183415339135869,47.490990484763984,494.2487487792969,1,Train
0.0069124287871926,487.9910932268416,494.289552234468,493.7692568754279,6.150863676085409,46.09021909120909,496.3973693847656,1,Train
0.0043472454119013,488.5965794154576,494.21576218377976,494.00817619445854,6.113977400687332,48.63252981406382,498.4166259765625,1,Train
0.0040678229103017,489.8880310058594,494.4354785737537,494.408944356468,6.180926914934128,47.82021028428363,497.1486511230469,0,Train
-0.0025440059328503,491.8889378138951,494.4405096144904,494.6580086079752,6.183198040374694,47.10737204977745,498.4166259765625,1,Train
0.0025504944057501,494.8391462053572,494.5987272716704,494.99970109602856,6.242977856303871,43.99153801584356,502.4083557128906,1,Train
0.0080088213921576,496.8417314801897,494.9090140206473,495.6732151521069,6.468347907891038,50.87594831734154,500.0719909667969,0,Train
-0.0046503301936102,498.15833827427457,495.22264898391,496.0731038625333,6.554979685131675,56.18633552703415,495.4931640625,0,Train
-0.0091563354617093,498.3361118861607,495.0918259393601,496.0203820625303,6.519056039485728,51.8683256085872,493.2508544921875,0,Train
-0.0045254096987494,497.8866097586496,494.8732314336868,495.76860682886274,6.499183530988579,51.07616695792365,490.7265625,0,Train
-0.0051176636982946,496.7880292619978,494.3991379510789,495.3102391626025,6.416831921926507,51.33746585290052,489.3529968261719,0,Train
-0.0027990448832247,495.6743643624442,493.88256399972096,494.76867167747247,6.362830249931558,56.80823389771993,495.0588989257813,1,Train
0.0116600943217197,495.1946890694754,493.4375479561942,494.7950559727733,5.90013362762657,68.8219214481442,496.8316345214844,1,Train
0.0035808579535681,494.3980146135603,493.2144775390625,494.9801994772016,5.663228645161261,61.380184826639656,491.0905151367188,0,Train
-0.0115554626272842,493.1149466378348,493.0584949311756,494.6265918098849,5.675020258767792,50.29082053503728,499.0623474121094,1,Train
0.0162329184329108,493.6248299734933,493.3173450288318,495.0298423191781,5.824232344431623,55.35528520869493,495.5989074707031,0,Train
-0.0069398943025174,493.9602661132813,493.4811517624628,495.08157551477126,5.838380973454341,49.13693460706181,491.2784423828125,0,Train
-0.0087176646735163,494.0391060965402,493.57172212146577,494.73583613913866,5.786039487187642,42.64991836175482,487.8267517089844,0,Train
