Ticker,Model,Accuracy,Precision,Recall,F1,ROC_AUC,Directional_Acc,TrainRows,TestRows
RELIANCE,LogisticRegression,0.5034246575342466,0.5263157894736842,0.6451612903225806,0.5797101449275363,0.4977631269131151,0.5034246575342466,1168,292
RELIANCE,KNN,0.5,0.5420560747663551,0.3741935483870968,0.44274809160305345,0.5323522486461032,0.5,1168,292
RELIANCE,DecisionTree,0.4897260273972603,0.7142857142857143,0.06451612903225806,0.11834319526627218,0.5176595243701436,0.4897260273972603,1168,292
RELIANCE,RandomForest,0.4931506849315068,0.64,0.1032258064516129,0.17777777777777778,0.5662114433717919,0.4931506849315068,1168,292
RELIANCE,SVC_rbf,0.5171232876712328,0.6129032258064516,0.24516129032258063,0.35023041474654376,0.5404285377913822,0.5171232876712328,1168,292
TCS,LogisticRegression,0.5342465753424658,0.5256410256410257,0.5694444444444444,0.5466666666666666,0.5159065315315315,0.5342465753424658,1168,292
TCS,KNN,0.5205479452054794,0.5188679245283019,0.3819444444444444,0.44,0.5068036786786787,0.5205479452054794,1168,292
TCS,DecisionTree,0.5205479452054794,0.5625,0.125,0.20454545454545456,0.5152027027027027,0.5205479452054794,1168,292
TCS,RandomForest,0.523972602739726,0.6086956521739131,0.09722222222222222,0.16766467065868262,0.4968562312312312,0.523972602739726,1168,292
TCS,SVC_rbf,0.4794520547945205,0.47802197802197804,0.6041666666666666,0.5337423312883436,0.4918825075075075,0.4794520547945205,1168,292
HDFCBANK,LogisticRegression,0.5068493150684932,0.5352941176470588,0.5833333333333334,0.558282208588957,0.5197021116138764,0.5068493150684932,1168,292
HDFCBANK,KNN,0.5616438356164384,0.6129032258064516,0.48717948717948717,0.5428571428571428,0.5587763951734539,0.5616438356164384,1168,292
HDFCBANK,DecisionTree,0.4794520547945205,0.5136986301369864,0.4807692307692308,0.4966887417218543,0.4793552036199095,0.4794520547945205,1168,292
HDFCBANK,RandomForest,0.5342465753424658,0.5980392156862745,0.391025641025641,0.4728682170542636,0.5259945324283559,0.5342465753424658,1168,292
HDFCBANK,SVC_rbf,0.4691780821917808,0.5026178010471204,0.6153846153846154,0.553314121037464,0.5208569004524887,0.4691780821917808,1168,292
