Accuracy,Precision,Recall,F1,ROC_AUC,Ticker,Model
0.726027397260274,0.7737226277372263,0.6838709677419355,0.726027397260274,0.8141747115611019,RELIANCE,LogisticRegression
0.4691780821917808,0.5,0.6967741935483871,0.5822102425876011,0.45422651283258764,RELIANCE,DecisionTree
0.4965753424657534,0.525974025974026,0.5225806451612903,0.5242718446601942,0.5081469272427596,RELIANCE,RandomForest
0.5308219178082192,0.5308219178082192,1.0,0.6935123042505593,0.437909112314575,RELIANCE,SVM
0.702054794520548,0.6862745098039216,0.7291666666666666,0.7070707070707071,0.7835022522522523,TCS,LogisticRegression
0.5102739726027398,0.5031446540880503,0.5555555555555556,0.528052805280528,0.5108858858858859,TCS,DecisionTree
0.5068493150684932,0.5,0.4861111111111111,0.49295774647887325,0.5151088588588588,TCS,RandomForest
0.4931506849315068,0.4931506849315068,1.0,0.6605504587155964,0.4324324324324324,TCS,SVM
0.7328767123287672,0.7785714285714286,0.6987179487179487,0.7364864864864865,0.8431372549019608,HDFCBANK,LogisticRegression
0.541095890410959,0.5797101449275363,0.5128205128205128,0.54421768707483,0.5431749622926093,HDFCBANK,DecisionTree
0.565068493150685,0.616,0.4935897435897436,0.5480427046263345,0.5812829939668175,HDFCBANK,RandomForest
0.5342465753424658,0.5342465753424658,1.0,0.6964285714285714,0.4688442684766214,HDFCBANK,SVM
