Ticker,Model,MAE,RMSE,R2,TrainRows,TestRows
RELIANCE,LinearRegression,18.576165640699127,24.424498067030395,0.9558864271301158,1168,292
RELIANCE,DecisionTree,142.58877061817745,168.794178150684,-1.1068609099337103,1168,292
RELIANCE,RandomForest,142.67624548298036,171.0937898546282,-1.1646587008890905,1168,292
RELIANCE,SVR_rbf,211.1729936445225,259.2139650590427,-3.9686422645765385,1168,292
TCS,LinearRegression,56.79123793534676,73.02220842222336,0.9427539922058785,1168,292
TCS,DecisionTree,441.70086669921875,519.0445068773867,-1.8923075900620137,1168,292
TCS,RandomForest,431.53889396353946,500.80333945013103,-1.6925867925785503,1168,292
TCS,SVR_rbf,605.6577161999677,757.1374425576684,-5.15438592834085,1168,292
HDFCBANK,LinearRegression,10.573950089953414,14.32118119466795,0.9490181238189848,1168,292
HDFCBANK,DecisionTree,27.965709320486408,38.467151286264176,0.6321775898795139,1168,292
HDFCBANK,RandomForest,23.768494182220877,35.222402019922086,0.6916129914827422,1168,292
HDFCBANK,SVR_rbf,32.8109190618537,52.57940987991352,0.31278987456336227,1168,292
