Accuracy,Precision,Recall,F1,Ticker,Model
0.7534246575342466,0.7398843930635838,0.8258064516129032,0.7804878048780488,RELIANCE,LogisticRegression
0.5308219178082192,0.5511363636363636,0.6258064516129033,0.5861027190332326,RELIANCE,DecisionTree
0.5068493150684932,0.5567010309278351,0.34838709677419355,0.42857142857142855,RELIANCE,RandomForest
0.5308219178082192,0.5308219178082192,1.0,0.6935123042505593,RELIANCE,SVM
0.726027397260274,0.6666666666666666,0.8888888888888888,0.7619047619047619,TCS,LogisticRegression
0.4931506849315068,0.487012987012987,0.5208333333333334,0.5033557046979866,TCS,DecisionTree
0.5205479452054794,0.5140845070422535,0.5069444444444444,0.5104895104895105,TCS,RandomForest
0.4931506849315068,0.4931506849315068,1.0,0.6605504587155964,TCS,SVM
0.7568493150684932,0.7157360406091371,0.9038461538461539,0.7988668555240793,HDFCBANK,LogisticRegression
0.541095890410959,0.56875,0.5833333333333334,0.5759493670886076,HDFCBANK,DecisionTree
0.5342465753424658,0.5793650793650794,0.46794871794871795,0.5177304964539007,HDFCBANK,RandomForest
0.5342465753424658,0.5342465753424658,1.0,0.6964285714285714,HDFCBANK,SVM
