Accuracy,Precision,Recall,F1,ROC_AUC,Ticker,Model
0.4828767123287671,0.5142857142857142,0.4645161290322581,0.488135593220339,0.4818460089474924,RELIANCE,Logistic
0.5,0.5517241379310345,0.3096774193548387,0.39669421487603307,0.5125029432540616,RELIANCE,DecisionTree
0.4965753424657534,0.5869565217391305,0.17419354838709677,0.26865671641791045,0.5174476100777019,RELIANCE,RandomForest
0.5308219178082192,0.5308219178082192,1.0,0.6935123042505593,0.5036967271014834,RELIANCE,SVM
0.5,0.5517241379310345,0.3096774193548387,0.39669421487603307,0.516599952907935,RELIANCE,Blend_Simple
0.5,0.5517241379310345,0.3096774193548387,0.39669421487603307,0.5123616670591005,RELIANCE,Blend_Weighted
0.5034246575342466,0.4972067039106145,0.6180555555555556,0.5510835913312694,0.4913663663663664,TCS,Logistic
0.5,0.47058823529411764,0.1111111111111111,0.1797752808988764,0.4947447447447448,TCS,DecisionTree
0.5,0.4642857142857143,0.09027777777777778,0.1511627906976744,0.4913194444444445,TCS,RandomForest
0.4931506849315068,0.4931506849315068,1.0,0.6605504587155964,0.46799924924924924,TCS,SVM
0.5,0.47058823529411764,0.1111111111111111,0.1797752808988764,0.4619463213213213,TCS,Blend_Simple
0.5,0.47058823529411764,0.1111111111111111,0.1797752808988764,0.46753003003003,TCS,Blend_Weighted
0.5136986301369864,0.535,0.6858974358974359,0.601123595505618,0.4882164404223227,HDFCBANK,Logistic
0.5102739726027398,0.5389221556886228,0.5769230769230769,0.5572755417956656,0.5053733031674208,HDFCBANK,DecisionTree
0.5,0.5390625,0.4423076923076923,0.4859154929577465,0.5240855957767723,HDFCBANK,RandomForest
0.5342465753424658,0.5342465753424658,1.0,0.6964285714285714,0.5690045248868778,HDFCBANK,SVM
0.5102739726027398,0.5389221556886228,0.5769230769230769,0.5572755417956656,0.509898190045249,HDFCBANK,Blend_Simple
0.5102739726027398,0.5389221556886228,0.5769230769230769,0.5572755417956656,0.5093325791855203,HDFCBANK,Blend_Weighted
