RMSE,MAE,R2,Ticker,Model
17.585252105810444,12.737170498192592,0.9771325290336925,RELIANCE,Linear
19.447876316768287,14.409638786469305,0.9720317491381109,RELIANCE,Ridge
17.960400666217247,12.867725007652679,0.9761464522880507,RELIANCE,Lasso
197.70490393953227,167.41194633588398,-1.8903858493344976,RELIANCE,DecisionTree
180.2453845925074,151.53911434434863,-1.4024217136004147,RELIANCE,RandomForest
172.66607807624234,144.64699027783638,-1.2046263195979963,RELIANCE,GradientBoosting
92.97744025619097,77.87335222181868,0.3607420911956626,RELIANCE,Blend_Simple
66.00976529235696,54.807784014655695,0.6777912605936487,RELIANCE,Blend_Weighted
52.02090521064168,37.10071262990039,0.9709469929860416,TCS,Linear
59.556391419054435,42.79655242273097,0.9619204304975121,TCS,Ridge
55.02083404878758,39.95986337613004,0.9674995317719892,TCS,Lasso
652.8521019186851,580.3555172436858,-3.5757774347637117,TCS,DecisionTree
539.875722728483,470.1992207649962,-2.129124736145753,TCS,RandomForest
510.56813712711346,437.5418211437847,-1.7986120240674413,TCS,GradientBoosting
293.12248156265196,255.93676366356422,0.07756975080999351,TCS,Blend_Simple
209.7416000647303,181.61604035697385,0.5277146954251657,TCS,Blend_Weighted
9.566633649045926,6.8598920360927345,0.9772502608698003,HDFCBANK,Linear
11.39767822956728,8.551675416302581,0.9677082992608604,HDFCBANK,Ridge
10.071847268423886,7.172402063381678,0.9747839882844673,HDFCBANK,Lasso
40.56836850899639,29.93132269872378,0.590896476643167,HDFCBANK,DecisionTree
35.314658849971565,23.711826130070094,0.6899953807399595,HDFCBANK,RandomForest
33.873944835885986,22.140067571700033,0.7147736222409733,HDFCBANK,GradientBoosting
20.30107748135689,14.17948944272988,0.8975536918857718,HDFCBANK,Blend_Simple
16.060325398415582,11.479824147050513,0.9358839416745048,HDFCBANK,Blend_Weighted
