RMSE,MAE,R2,Model,Ticker
17.585252105810444,12.737170498192592,0.9771325290336925,Linear,RELIANCE
19.447876316768287,14.409638786469305,0.9720317491381109,Ridge,RELIANCE
17.960400666217247,12.867725007652679,0.9761464522880507,Lasso,RELIANCE
197.70490393953227,167.41194633588398,-1.8903858493344976,DecisionTree,RELIANCE
180.09256198193063,151.4553235685444,-1.3983496124972836,RandomForest,RELIANCE
172.66607807624234,144.64699027783638,-1.2046263195979963,GradientBoosting,RELIANCE
177.04011962390882,148.58684076264873,-1.317737926415314,LightGBM,RELIANCE
180.3810997901887,151.45891038032428,-1.4060408674094846,XGBoost,RELIANCE
182.20691228191797,153.57000782062363,-1.4549951346212753,CatBoost,RELIANCE
18.122072262808537,13.178523231299328,0.9757150812729881,Blend_Simple,RELIANCE
18.12050800029762,13.17709140081035,0.9757192735472346,Blend_Weighted,RELIANCE
52.02090521064168,37.10071262990039,0.9709469929860416,Linear,TCS
59.556391419054435,42.79655242273097,0.9619204304975121,Ridge,TCS
55.02083404878758,39.95986337613004,0.9674995317719892,Lasso,TCS
652.8521019186851,580.3555172436858,-3.5757774347637117,DecisionTree,TCS
538.9152489875512,469.1297074102811,-2.11800081048279,RandomForest,TCS
510.56813712711346,437.5418211437847,-1.7986120240674413,GradientBoosting,TCS
534.825412876893,462.33081938436874,-2.070855273801638,LightGBM,TCS
541.5516010715313,465.7151556145655,-2.1485817015202713,XGBoost,TCS
552.311547218301,477.7756486081137,-2.2749413380448504,CatBoost,TCS
54.76120162202118,38.93397232194737,0.9678055346359106,Blend_Simple,TCS
54.75033980390616,38.926721549594205,0.9678183048358477,Blend_Weighted,TCS
9.566633649045926,6.8598920360927345,0.9772502608698003,Linear,HDFCBANK
11.39767822956728,8.551675416302581,0.9677082992608604,Ridge,HDFCBANK
10.071847268423886,7.172402063381678,0.9747839882844673,Lasso,HDFCBANK
40.56836850899639,29.93132269872378,0.590896476643167,DecisionTree,HDFCBANK
35.2591801165204,23.609868629490407,0.6909686397091772,RandomForest,HDFCBANK
33.873944835885986,22.140067571700033,0.7147736222409733,GradientBoosting,HDFCBANK
33.695679855889345,21.810379243816467,0.7177677868741965,LightGBM,HDFCBANK
35.30286682046909,23.316934454930973,0.6902023754221394,XGBoost,HDFCBANK
37.38554019282044,25.563012593272497,0.652571488831668,CatBoost,HDFCBANK
10.06732469741213,7.246568072076281,0.9748066287389071,Blend_Simple,HDFCBANK
10.064616457742204,7.24358084472767,0.9748201815967295,Blend_Weighted,HDFCBANK
