RMSE,MAE,R2,Model,Ticker
16.17029355468408,11.276267162337728,0.9806644403446922,Linear,RELIANCE
19.84301307822549,14.694499347530668,0.9708837006409143,Ridge,RELIANCE
16.540264876762404,11.798364676396883,0.9797695352951377,Lasso,RELIANCE
17.19154501042744,12.348971349493898,0.9781450027600775,Blend_Simple,RELIANCE
17.058870487728864,12.218939262692333,0.9784810298701944,Blend_Weighted,RELIANCE
47.05369676155296,34.86929252248118,0.9762303505143476,Linear,TCS
60.64929139990818,46.81467817600846,0.9605100357010968,Ridge,TCS
48.33565153346065,36.05575416398531,0.974917522414416,Lasso,TCS
51.31155780071316,38.70109302582768,0.9717339138270863,Blend_Simple,TCS
50.68801782083825,38.145191145116186,0.9724167208012419,Blend_Weighted,TCS
8.75002866834977,6.325625418735572,0.9809683217622527,Linear,HDFCBANK
10.816880858415587,8.153522000673718,0.970915458137123,Ridge,HDFCBANK
8.895989174219304,6.401042144580612,0.9803280855881656,Lasso,HDFCBANK
9.19995478854974,6.715336070908833,0.9789607855216795,Blend_Simple,HDFCBANK
9.129021736834325,6.6521967894466405,0.9792839659070088,Blend_Weighted,HDFCBANK
