RMSE,MAE,R2,Ticker,Model
16.17029355468408,11.276267162337728,0.9806644403446922,RELIANCE,LinearRegression
185.91340511532613,156.96510335843857,-1.5558911211859283,RELIANCE,DecisionTree
185.59361174988703,156.85438177657454,-1.5471058047451471,RELIANCE,RandomForest
378.4075285229852,360.88609255712913,-9.58864712009274,RELIANCE,SVR
47.05369676155296,34.86929252248118,0.9762303505143476,TCS,LinearRegression
579.409854524597,499.46953509605095,-2.604184657198767,TCS,DecisionTree
532.3614273758006,461.0349059473325,-2.042625078151763,TCS,RandomForest
991.1391399252122,944.9992240106955,-9.546407119685462,TCS,SVR
8.75002866834977,6.325625418735572,0.9809683217622527,HDFCBANK,LinearRegression
34.753532790877166,23.86678909928831,0.6997686414025112,HDFCBANK,DecisionTree
34.8749379756625,22.286408392501205,0.6976673696320013,HDFCBANK,RandomForest
89.01135024153946,71.99613493732487,-0.969467927703028,HDFCBANK,SVR
