RMSE,MAE,R2,Ticker,Model
17.585252105810444,12.737170498192592,0.9771325290336925,RELIANCE,LinearRegression
197.70490393953227,167.41194633588398,-1.8903858493344976,RELIANCE,DecisionTree
180.2453845925074,151.53911434434863,-1.4024217136004147,RELIANCE,RandomForest
327.73452670543077,304.841684808916,-6.94264828800454,RELIANCE,SVR
52.02090521064168,37.10071262990039,0.9709469929860416,TCS,LinearRegression
652.8521019186851,580.3555172436858,-3.5757774347637117,TCS,DecisionTree
539.875722728483,470.1992207649962,-2.129124736145753,TCS,RandomForest
951.6447584164132,903.4042709225383,-8.7226577574923,TCS,SVR
9.566633649045926,6.8598920360927345,0.9772502608698003,HDFCBANK,LinearRegression
40.56836850899639,29.93132269872378,0.590896476643167,HDFCBANK,DecisionTree
35.314658849971565,23.711826130070094,0.6899953807399595,HDFCBANK,RandomForest
77.11348301726919,61.964441652697055,-0.47815090566380625,HDFCBANK,SVR
